record_id,plan_name,plan_category,age,gender,num_members,city_tier,state,bmi_category,smoke,has_pre_existing,annual_checkup,ncb_years,sum_insured,deductible,num_addons,addons_list,has_maternity,has_opd,policy_tenure,prev_insurer,annual_premium,gst_amount,total_premium
AHQ000021,Individual Basic,Individual,49,Female,1,2,West Bengal,Normal,0,0,1,2,500000,0,3,personal_accident|dental_vision|opd_cover,0,1,2,United India,32900.0,5922.0,38822.0
AHQ000022,Family Floater Standard,Family,43,Female,5,1,Punjab,Overweight,0,0,1,1,500000,0,2,international_cover|dental_vision,0,0,1,SBI Health,75700.0,13626.0,89326.0
AHQ000023,Super Top-Up,Specialty,25,Male,1,1,Madhya Pradesh,Overweight,0,0,0,0,5000000,0,3,opd_cover|personal_accident|critical_illness_rider,0,1,1,Star Health,60100.0,10818.0,70918.0
AHQ000024,Family Floater Premium,Family,49,Male,3,2,Uttar Pradesh,Obese,0,0,1,5,2000000,0,4,international_cover|dental_vision|personal_accident|maternity,1,0,2,Care Health,241100.0,43398.0,284498.0
AHQ000025,Super Top-Up,Specialty,23,Female,1,2,Uttar Pradesh,Normal,0,0,0,0,300000,0,4,international_cover|critical_illness_rider|personal_accident|hospital_cash,0,0,2,Bajaj Allianz,13800.0,2484.0,16284.0
AHQ000026,Individual Basic,Individual,56,Male,1,1,Madhya Pradesh,Overweight,1,0,0,0,300000,5000,0,,0,0,1,United India,26600.0,4788.0,31388.0
AHQ000027,Senior Citizen,Senior,63,Male,4,3,Karnataka,Overweight,0,1,1,0,1000000,0,2,international_cover|critical_illness_rider,0,0,1,ACKO,228100.0,41058.0,269158.0
AHQ000028,Senior Citizen,Senior,66,Male,1,2,West Bengal,Overweight,1,0,1,4,1000000,5000,2,opd_cover|maternity,1,1,3,SBI Health,302900.0,54522.0,357422.0
AHQ000029,Family Floater Premium,Family,28,Female,3,2,Uttar Pradesh,Obese,0,0,0,2,500000,0,2,international_cover|critical_illness_rider,0,0,1,United India,52300.0,9414.0,61714.0
AHQ000030,Individual Standard,Individual,45,Male,1,2,Punjab,Overweight,0,0,1,2,750000,0,1,opd_cover,0,1,1,Niva Bupa,28600.0,5148.0,33748.0
AHQ000031,Family Floater Standard,Family,45,Female,3,2,Andhra Pradesh,Normal,0,0,1,2,750000,0,4,opd_cover|international_cover|dental_vision|hospital_cash,0,1,2,Bajaj Allianz,118900.0,21402.0,140302.0
AHQ000032,Family Floater Standard,Family,47,Female,2,1,Maharashtra,Obese,1,0,1,0,300000,5000,4,international_cover|hospital_cash|opd_cover|personal_accident,0,1,2,Bajaj Allianz,129700.0,23346.0,153046.0
AHQ000033,Family Floater Basic,Family,26,Male,5,3,Uttar Pradesh,Normal,0,0,1,2,500000,0,3,dental_vision|opd_cover|maternity,1,1,3,Niva Bupa,82300.0,14814.0,97114.0
AHQ000034,Senior Citizen,Senior,65,Female,5,1,West Bengal,Normal,0,0,1,1,500000,0,1,maternity,1,0,1,Star Health,195600.0,35208.0,230808.0
AHQ000035,Senior Citizen,Senior,69,Male,2,2,Kerala,Normal,0,0,0,2,500000,5000,3,dental_vision|critical_illness_rider|hospital_cash,0,0,1,Bajaj Allianz,109500.0,19710.0,129210.0
AHQ000036,Family Floater Standard,Family,48,Male,3,3,Rajasthan,Obese,0,0,1,1,750000,0,0,,0,0,3,Niva Bupa,171700.0,30906.0,202606.0
AHQ000037,Individual Standard,Individual,40,Male,1,1,Tamil Nadu,Obese,0,0,0,0,300000,5000,3,critical_illness_rider|personal_accident|dental_vision,0,0,2,Niva Bupa,48700.0,8766.0,57466.0
AHQ000038,Family Floater Premium,Family,47,Female,3,3,Kerala,Normal,0,0,0,2,300000,0,4,personal_accident|critical_illness_rider|international_cover|dental_vision,0,0,1,ACKO,65000.0,11700.0,76700.0
AHQ000039,Senior Citizen,Senior,72,Female,2,3,West Bengal,Normal,0,1,0,3,500000,10000,4,international_cover|dental_vision|hospital_cash|opd_cover,0,1,2,ACKO,218300.0,39294.0,257594.0
AHQ000040,Family Floater Standard,Family,55,Female,3,3,Punjab,Normal,0,0,0,0,500000,0,3,critical_illness_rider|opd_cover|international_cover,0,1,1,Bajaj Allianz,73700.0,13266.0,86966.0
AHQ000041,Individual Standard,Individual,47,Female,1,2,Rajasthan,Normal,0,0,1,0,500000,10000,3,international_cover|dental_vision|opd_cover,0,1,1,Niva Bupa,24800.0,4464.0,29264.0
AHQ000042,Family Floater Standard,Family,28,Female,2,2,Odisha,Obese,0,1,1,0,750000,0,0,,0,0,1,United India,43200.0,7776.0,50976.0
AHQ000043,Family Floater Premium,Family,54,Female,3,2,Odisha,Obese,0,0,0,1,500000,5000,3,hospital_cash|critical_illness_rider|opd_cover,0,1,1,HDFC Ergo,103800.0,18684.0,122484.0
AHQ000044,Individual Premium,Individual,36,Male,2,3,Andhra Pradesh,Normal,0,0,0,3,2000000,10000,2,maternity|personal_accident,1,0,2,HDFC Ergo,110400.0,19872.0,130272.0
AHQ000045,Individual Standard,Individual,23,Male,2,1,Odisha,Normal,1,0,1,1,1000000,0,0,,0,0,1,ACKO,33700.0,6066.0,39766.0
AHQ000046,Senior Citizen,Senior,62,Female,1,1,Maharashtra,Normal,0,1,1,3,300000,0,0,,0,0,1,HDFC Ergo,54400.0,9792.0,64192.0
AHQ000047,Family Floater Premium,Family,45,Female,4,1,Delhi,Normal,0,0,1,0,750000,0,2,opd_cover|personal_accident,0,1,1,Star Health,109700.0,19746.0,129446.0
AHQ000048,Super Top-Up,Specialty,26,Female,1,1,Haryana,Normal,0,0,0,2,300000,0,1,dental_vision,0,0,1,Care Health,7000.0,1260.0,8260.0
AHQ000049,Critical Illness,Specialty,53,Female,1,3,Andhra Pradesh,Overweight,0,0,0,0,1000000,5000,1,maternity,1,0,1,Care Health,46500.0,8370.0,54870.0
AHQ000050,Individual Premium,Individual,41,Male,1,1,Kerala,Overweight,0,0,1,4,500000,0,3,international_cover|personal_accident|hospital_cash,0,0,3,SBI Health,67600.0,12168.0,79768.0
AHQ000051,Family Floater Basic,Family,46,Male,5,2,Rajasthan,Obese,0,0,0,0,300000,5000,0,,0,0,2,HDFC Ergo,116500.0,20970.0,137470.0
AHQ000052,Critical Illness,Specialty,28,Female,1,3,Maharashtra,Normal,0,0,1,2,2500000,10000,2,personal_accident|international_cover,0,0,1,Niva Bupa,39700.0,7146.0,46846.0
AHQ000053,Family Floater Basic,Family,20,Male,2,1,Punjab,Obese,0,0,1,5,500000,10000,0,,0,0,1,United India,17500.0,3150.0,20650.0
AHQ000054,Senior Citizen,Senior,70,Female,4,2,Uttar Pradesh,Overweight,0,0,0,0,750000,25000,3,personal_accident|international_cover|dental_vision,0,0,2,ACKO,380400.0,68472.0,448872.0
AHQ000055,Individual Standard,Individual,29,Female,2,2,Madhya Pradesh,Normal,0,0,0,1,1000000,25000,2,hospital_cash|opd_cover,0,1,1,HDFC Ergo,24200.0,4356.0,28556.0
AHQ000056,Family Floater Basic,Family,39,Male,3,1,Maharashtra,Normal,1,0,0,0,500000,0,2,hospital_cash|critical_illness_rider,0,0,1,Niva Bupa,42700.0,7686.0,50386.0
AHQ000057,Family Floater Premium,Family,32,Female,3,2,Madhya Pradesh,Normal,0,0,0,4,300000,50000,1,personal_accident,0,0,1,Care Health,24100.0,4338.0,28438.0
AHQ000058,Individual Premium,Individual,22,Female,1,3,Punjab,Overweight,0,0,1,3,1500000,5000,3,dental_vision|maternity|opd_cover,1,1,2,ACKO,54400.0,9792.0,64192.0
AHQ000059,Senior Citizen,Senior,61,Female,1,3,Kerala,Normal,0,1,1,1,300000,0,4,hospital_cash|opd_cover|dental_vision|international_cover,0,1,1,Care Health,57000.0,10260.0,67260.0
AHQ000060,Family Floater Basic,Family,48,Male,5,3,Maharashtra,Overweight,0,0,0,1,500000,0,0,,0,0,1,United India,53200.0,9576.0,62776.0
AHQ000061,Individual Premium,Individual,26,Female,1,1,Tamil Nadu,Normal,0,0,1,2,2500000,0,2,critical_illness_rider|maternity,1,0,2,United India,99400.0,17892.0,117292.0
AHQ000062,Family Floater Premium,Family,39,Male,4,1,West Bengal,Normal,0,0,0,3,2000000,25000,1,critical_illness_rider,0,0,2,Niva Bupa,173600.0,31248.0,204848.0
AHQ000063,Individual Premium,Individual,49,Male,1,2,Odisha,Normal,1,0,1,4,750000,0,3,international_cover|maternity|critical_illness_rider,1,0,3,Niva Bupa,104900.0,18882.0,123782.0
AHQ000064,Family Floater Standard,Family,49,Female,4,1,Tamil Nadu,Normal,0,0,0,1,300000,25000,1,dental_vision,0,0,2,HDFC Ergo,104500.0,18810.0,123310.0
AHQ000065,Senior Citizen,Senior,68,Female,2,3,Andhra Pradesh,Normal,0,0,1,1,500000,0,0,,0,0,2,HDFC Ergo,159500.0,28710.0,188210.0
AHQ000066,Individual Basic,Individual,56,Male,1,1,Tamil Nadu,Obese,0,0,1,0,500000,0,1,international_cover,0,0,1,United India,31900.0,5742.0,37642.0
AHQ000067,Senior Citizen,Senior,69,Female,5,2,Punjab,Overweight,0,0,1,2,500000,0,2,opd_cover|international_cover,0,1,1,United India,218100.0,39258.0,257358.0
AHQ000068,Super Top-Up,Specialty,52,Female,1,2,Kerala,Overweight,0,1,0,4,1500000,50000,0,,0,0,2,Bajaj Allianz,39000.0,7020.0,46020.0
AHQ000069,Super Top-Up,Specialty,23,Male,1,2,West Bengal,Normal,0,0,1,0,750000,0,4,opd_cover|maternity|dental_vision|hospital_cash,1,1,1,SBI Health,11600.0,2088.0,13688.0
AHQ000070,Family Floater Basic,Family,52,Male,5,1,Karnataka,Normal,0,0,0,5,500000,10000,0,,0,0,3,Star Health,120700.0,21726.0,142426.0
AHQ000071,Family Floater Premium,Family,33,Male,4,1,Tamil Nadu,Overweight,0,0,0,5,750000,0,0,,0,0,2,ACKO,114500.0,20610.0,135110.0
AHQ000072,Family Floater Standard,Family,36,Male,2,1,Gujarat,Overweight,0,0,0,3,500000,5000,1,dental_vision,0,0,1,SBI Health,36300.0,6534.0,42834.0
AHQ000073,Critical Illness,Specialty,33,Female,1,1,Tamil Nadu,Overweight,1,1,1,1,300000,5000,0,,0,0,1,Bajaj Allianz,31500.0,5670.0,37170.0
AHQ000074,Senior Citizen,Senior,64,Female,4,2,Uttar Pradesh,Normal,0,0,1,3,1000000,0,2,dental_vision|international_cover,0,0,1,HDFC Ergo,145200.0,26136.0,171336.0
AHQ000075,Critical Illness,Specialty,38,Female,1,1,Rajasthan,Normal,0,0,0,0,500000,0,4,maternity|hospital_cash|dental_vision|personal_accident,1,0,1,Niva Bupa,40500.0,7290.0,47790.0
AHQ000076,Family Floater Standard,Family,28,Male,3,2,Punjab,Overweight,0,1,1,2,750000,0,1,opd_cover,0,1,2,HDFC Ergo,91100.0,16398.0,107498.0
AHQ000077,Senior Citizen,Senior,61,Male,1,2,Tamil Nadu,Overweight,0,1,1,0,500000,25000,3,critical_illness_rider|international_cover|maternity,1,0,1,ACKO,83000.0,14940.0,97940.0
AHQ000078,Individual Standard,Individual,44,Male,1,2,Uttar Pradesh,Overweight,1,1,1,1,300000,0,3,opd_cover|international_cover|maternity,1,1,1,Star Health,25300.0,4554.0,29854.0
AHQ000079,Super Top-Up,Specialty,21,Female,1,3,Maharashtra,Normal,0,1,0,0,10000000,10000,0,,0,0,1,SBI Health,80200.0,14436.0,94636.0
AHQ000080,Individual Premium,Individual,43,Male,1,3,Maharashtra,Overweight,0,1,0,1,750000,0,4,international_cover|personal_accident|critical_illness_rider|maternity,1,0,1,HDFC Ergo,36900.0,6642.0,43542.0
AHQ000081,Senior Citizen,Senior,63,Female,2,2,Haryana,Normal,0,0,0,1,1000000,0,1,personal_accident,0,0,1,Care Health,108400.0,19512.0,127912.0
AHQ000082,Critical Illness,Specialty,37,Male,1,2,Andhra Pradesh,Normal,1,0,1,0,2500000,0,3,international_cover|opd_cover|personal_accident,0,1,2,Care Health,162000.0,29160.0,191160.0
AHQ000083,Family Floater Premium,Family,55,Male,4,2,Odisha,Normal,1,0,0,0,500000,0,4,hospital_cash|opd_cover|personal_accident|dental_vision,0,1,3,HDFC Ergo,450300.0,81054.0,531354.0
AHQ000084,Senior Citizen,Senior,66,Male,1,3,Andhra Pradesh,Normal,0,0,0,3,1000000,5000,0,,0,0,1,United India,66000.0,11880.0,77880.0
AHQ000085,Senior Citizen,Senior,68,Female,2,2,Telangana,Overweight,0,0,1,0,1000000,10000,1,dental_vision,0,0,1,ACKO,157500.0,28350.0,185850.0
AHQ000086,Family Floater Standard,Family,34,Male,2,2,Uttar Pradesh,Normal,0,0,0,0,750000,0,4,dental_vision|international_cover|opd_cover|hospital_cash,0,1,3,Star Health,95100.0,17118.0,112218.0
AHQ000087,Family Floater Standard,Family,23,Female,5,1,Andhra Pradesh,Obese,0,0,1,0,750000,50000,2,international_cover|dental_vision,0,0,1,Star Health,65400.0,11772.0,77172.0
AHQ000088,Family Floater Premium,Family,58,Male,5,3,Madhya Pradesh,Normal,0,1,0,4,300000,0,3,hospital_cash|dental_vision|opd_cover,0,1,1,HDFC Ergo,120000.0,21600.0,141600.0
AHQ000089,Critical Illness,Specialty,35,Female,1,3,Karnataka,Obese,0,0,0,0,2000000,0,1,critical_illness_rider,0,0,3,United India,192100.0,34578.0,226678.0
AHQ000090,Senior Citizen,Senior,69,Male,2,2,Gujarat,Normal,1,1,0,1,500000,25000,4,hospital_cash|personal_accident|dental_vision|opd_cover,0,1,1,HDFC Ergo,155400.0,27972.0,183372.0
AHQ000091,Senior Citizen,Senior,73,Female,5,1,Andhra Pradesh,Normal,1,1,0,4,300000,0,3,critical_illness_rider|maternity|international_cover,1,0,3,SBI Health,752100.0,135378.0,887478.0
AHQ000092,Individual Standard,Individual,53,Male,1,1,Uttar Pradesh,Obese,0,0,0,0,500000,5000,0,,0,0,1,Bajaj Allianz,30200.0,5436.0,35636.0
AHQ000093,Senior Citizen,Senior,61,Male,5,1,Kerala,Normal,0,0,0,1,500000,0,4,dental_vision|international_cover|opd_cover|personal_accident,0,1,1,Care Health,194700.0,35046.0,229746.0
AHQ000094,Individual Standard,Individual,52,Female,2,3,Maharashtra,Normal,1,0,0,3,500000,10000,3,opd_cover|critical_illness_rider|dental_vision,0,1,2,Bajaj Allianz,65100.0,11718.0,76818.0
AHQ000095,Family Floater Basic,Family,58,Male,4,2,Rajasthan,Overweight,0,1,0,0,300000,5000,3,personal_accident|dental_vision|maternity,1,0,3,ACKO,214400.0,38592.0,252992.0
AHQ000096,Family Floater Basic,Family,34,Male,2,3,Tamil Nadu,Overweight,0,1,1,1,300000,0,1,opd_cover,0,1,1,Star Health,18900.0,3402.0,22302.0
AHQ000097,Family Floater Basic,Family,26,Male,3,2,Karnataka,Overweight,0,0,1,1,300000,0,2,international_cover|maternity,1,0,1,SBI Health,21900.0,3942.0,25842.0
AHQ000098,Super Top-Up,Specialty,38,Male,1,2,Karnataka,Normal,0,0,0,2,2000000,5000,4,international_cover|maternity|personal_accident|dental_vision,1,0,1,Niva Bupa,22100.0,3978.0,26078.0
AHQ000099,Individual Premium,Individual,51,Male,2,2,West Bengal,Overweight,0,1,1,3,2000000,10000,4,opd_cover|dental_vision|international_cover|hospital_cash,0,1,2,HDFC Ergo,245600.0,44208.0,289808.0
AHQ000100,Critical Illness,Specialty,42,Female,1,1,Rajasthan,Normal,1,0,1,3,2000000,0,0,,0,0,1,Star Health,67200.0,12096.0,79296.0
AHQ000101,Senior Citizen,Senior,64,Male,3,3,Uttar Pradesh,Normal,0,1,1,1,300000,0,3,personal_accident|critical_illness_rider|dental_vision,0,0,1,Bajaj Allianz,93700.0,16866.0,110566.0
AHQ000102,Senior Citizen,Senior,65,Female,5,1,Delhi,Overweight,0,1,1,2,300000,0,1,maternity,1,0,1,Star Health,231800.0,41724.0,273524.0
AHQ000103,Family Floater Premium,Family,29,Female,3,2,Tamil Nadu,Normal,0,0,1,2,2500000,0,2,hospital_cash|opd_cover,0,1,1,Star Health,77900.0,14022.0,91922.0
AHQ000104,Family Floater Standard,Family,28,Female,4,3,Telangana,Normal,0,1,0,1,500000,10000,3,dental_vision|hospital_cash|maternity,1,0,2,SBI Health,82900.0,14922.0,97822.0
AHQ000105,Family Floater Basic,Family,54,Female,4,3,Karnataka,Normal,0,0,0,3,300000,10000,0,,0,0,2,United India,52500.0,9450.0,61950.0
AHQ000106,Family Floater Standard,Family,21,Male,3,3,Madhya Pradesh,Overweight,0,1,1,1,750000,0,2,international_cover|dental_vision,0,0,1,United India,47700.0,8586.0,56286.0
AHQ000107,Critical Illness,Specialty,34,Male,1,3,Kerala,Obese,0,0,0,1,2000000,50000,2,maternity|hospital_cash,1,0,3,Niva Bupa,108200.0,19476.0,127676.0
AHQ000108,Family Floater Premium,Family,47,Male,5,3,Punjab,Normal,0,0,0,2,2500000,0,0,,0,0,1,United India,152400.0,27432.0,179832.0
AHQ000109,Super Top-Up,Specialty,58,Male,1,3,Punjab,Normal,0,1,0,0,300000,5000,3,international_cover|personal_accident|maternity,1,0,1,Niva Bupa,15900.0,2862.0,18762.0
AHQ000110,Senior Citizen,Senior,62,Male,5,2,Karnataka,Overweight,0,0,1,2,750000,0,0,,0,0,2,United India,310400.0,55872.0,366272.0
AHQ000111,Senior Citizen,Senior,73,Male,5,3,Andhra Pradesh,Obese,0,1,1,0,300000,0,0,,0,0,1,ACKO,204500.0,36810.0,241310.0
AHQ000112,Senior Citizen,Senior,74,Female,2,3,Maharashtra,Obese,0,0,0,1,750000,0,0,,0,0,1,Niva Bupa,131700.0,23706.0,155406.0
AHQ000113,Senior Citizen,Senior,62,Male,1,3,Delhi,Normal,0,0,1,3,300000,0,1,critical_illness_rider,0,0,3,Bajaj Allianz,97100.0,17478.0,114578.0
AHQ000114,Senior Citizen,Senior,74,Male,2,2,Andhra Pradesh,Overweight,0,1,0,2,750000,0,3,hospital_cash|critical_illness_rider|opd_cover,0,1,1,ACKO,173800.0,31284.0,205084.0
AHQ000115,Senior Citizen,Senior,65,Male,4,2,Punjab,Overweight,0,0,0,4,1000000,0,2,critical_illness_rider|international_cover,0,0,1,Bajaj Allianz,214700.0,38646.0,253346.0
AHQ000116,Family Floater Basic,Family,56,Female,2,2,West Bengal,Obese,0,1,1,0,500000,10000,2,critical_illness_rider|dental_vision,0,0,1,ACKO,58500.0,10530.0,69030.0
AHQ000117,Family Floater Standard,Family,24,Male,3,1,Odisha,Overweight,0,0,1,4,300000,10000,3,personal_accident|dental_vision|maternity,1,0,1,HDFC Ergo,29600.0,5328.0,34928.0
AHQ000118,Family Floater Premium,Family,54,Female,5,2,Andhra Pradesh,Overweight,0,0,1,1,500000,0,1,maternity,1,0,3,United India,325300.0,58554.0,383854.0
AHQ000119,Individual Standard,Individual,51,Male,1,2,Punjab,Overweight,0,0,1,2,500000,0,1,critical_illness_rider,0,0,3,Star Health,63900.0,11502.0,75402.0
AHQ000120,Family Floater Basic,Family,21,Female,2,1,Delhi,Normal,0,0,1,0,500000,0,2,dental_vision|hospital_cash,0,0,2,Star Health,41000.0,7380.0,48380.0
AHQ000121,Family Floater Basic,Family,56,Male,4,3,Uttar Pradesh,Normal,1,0,0,0,500000,5000,3,hospital_cash|critical_illness_rider|personal_accident,0,0,1,Niva Bupa,71000.0,12780.0,83780.0
AHQ000122,Senior Citizen,Senior,61,Male,1,2,Rajasthan,Overweight,1,0,0,2,750000,10000,3,hospital_cash|international_cover|maternity,1,0,2,Niva Bupa,162700.0,29286.0,191986.0
AHQ000123,Family Floater Basic,Family,28,Male,2,2,Maharashtra,Normal,0,0,1,4,300000,25000,4,hospital_cash|opd_cover|personal_accident|dental_vision,0,1,3,United India,35800.0,6444.0,42244.0
AHQ000124,Senior Citizen,Senior,62,Female,3,2,Karnataka,Normal,0,1,0,0,750000,10000,3,opd_cover|personal_accident|dental_vision,0,1,3,HDFC Ergo,470500.0,84690.0,555190.0
AHQ000125,Super Top-Up,Specialty,19,Male,1,2,Rajasthan,Obese,0,0,0,1,5000000,5000,1,critical_illness_rider,0,0,1,United India,49000.0,8820.0,57820.0
AHQ000126,Individual Premium,Individual,54,Male,1,2,Odisha,Normal,1,0,0,0,300000,0,4,international_cover|maternity|hospital_cash|critical_illness_rider,1,0,1,Bajaj Allianz,40500.0,7290.0,47790.0
AHQ000127,Individual Premium,Individual,57,Male,1,2,West Bengal,Normal,0,1,1,1,500000,0,1,international_cover,0,0,1,Care Health,49100.0,8838.0,57938.0
AHQ000128,Senior Citizen,Senior,61,Male,1,2,Karnataka,Normal,0,0,0,2,300000,0,0,,0,0,1,SBI Health,40000.0,7200.0,47200.0
AHQ000129,Family Floater Premium,Family,37,Female,5,1,Odisha,Overweight,0,0,0,4,1500000,0,1,critical_illness_rider,0,0,1,United India,117800.0,21204.0,139004.0
AHQ000130,Individual Basic,Individual,49,Female,1,2,Karnataka,Normal,0,0,0,0,500000,25000,4,dental_vision|hospital_cash|critical_illness_rider|maternity,1,0,1,ACKO,19100.0,3438.0,22538.0
AHQ000131,Senior Citizen,Senior,71,Male,2,3,Tamil Nadu,Normal,0,0,0,5,500000,0,3,hospital_cash|maternity|dental_vision,1,0,2,Care Health,141600.0,25488.0,167088.0
AHQ000132,Individual Standard,Individual,29,Female,1,2,Uttar Pradesh,Overweight,0,0,0,2,500000,25000,2,dental_vision|opd_cover,0,1,1,Care Health,13100.0,2358.0,15458.0
AHQ000133,Individual Basic,Individual,46,Female,1,3,Madhya Pradesh,Overweight,0,0,0,0,500000,0,4,personal_accident|opd_cover|critical_illness_rider|maternity,1,1,1,ACKO,18500.0,3330.0,21830.0
AHQ000134,Senior Citizen,Senior,70,Male,1,1,Haryana,Normal,1,0,1,0,300000,0,1,hospital_cash,0,0,1,Care Health,88700.0,15966.0,104666.0
AHQ000135,Family Floater Standard,Family,19,Female,4,2,Punjab,Normal,0,0,0,4,750000,10000,3,opd_cover|dental_vision|international_cover,0,1,3,Niva Bupa,114500.0,20610.0,135110.0
AHQ000136,Family Floater Standard,Family,23,Male,3,1,Kerala,Overweight,0,0,1,0,1000000,0,3,dental_vision|opd_cover|maternity,1,1,3,SBI Health,156400.0,28152.0,184552.0
AHQ000137,Individual Standard,Individual,42,Female,2,1,Punjab,Normal,0,0,1,1,750000,0,2,personal_accident|international_cover,0,0,2,Bajaj Allianz,70400.0,12672.0,83072.0
AHQ000138,Senior Citizen,Senior,73,Female,1,2,Andhra Pradesh,Overweight,0,1,0,0,300000,5000,1,dental_vision,0,0,1,HDFC Ergo,93400.0,16812.0,110212.0
AHQ000139,Individual Standard,Individual,21,Male,2,1,Karnataka,Normal,0,0,1,0,750000,5000,2,critical_illness_rider|opd_cover,0,1,3,Bajaj Allianz,76700.0,13806.0,90506.0
AHQ000140,Family Floater Standard,Family,23,Female,2,3,Madhya Pradesh,Normal,0,0,1,1,300000,0,1,maternity,1,0,1,Care Health,19300.0,3474.0,22774.0
AHQ000141,Senior Citizen,Senior,69,Male,1,2,Karnataka,Overweight,1,0,0,3,500000,0,4,personal_accident|maternity|international_cover|opd_cover,1,1,1,SBI Health,97500.0,17550.0,115050.0
AHQ000142,Individual Premium,Individual,21,Male,1,1,Gujarat,Normal,0,0,0,1,1500000,50000,1,critical_illness_rider,0,0,2,ACKO,48300.0,8694.0,56994.0
AHQ000143,Senior Citizen,Senior,69,Male,3,3,Haryana,Normal,0,1,0,1,500000,5000,4,critical_illness_rider|personal_accident|opd_cover|dental_vision,0,1,3,Care Health,414300.0,74574.0,488874.0
AHQ000144,Senior Citizen,Senior,66,Female,1,3,Punjab,Normal,0,0,0,0,750000,0,2,dental_vision|international_cover,0,0,1,ACKO,89000.0,16020.0,105020.0
